timestamp,case_id,case_name,case_category,priority,api_name,method,path,status,expected_http_status,actual_http_status,expected_result_type,actual_result_type,request_payload,response_headers,blocked_by_link,rfc_7725_check,response_body,assertion_summary,error_message
2026-05-26 18:19:07,CHAT-001,最小合法请求,happy_path,P0,chat_completions,POST,/v1/chat/completions,error,200,,success,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}",,,,,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 18:19:57,CHAT-002,显式传 compliance_check=0,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,,success,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""你能做些什么""}],""compliance_check"":0}",,,,,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 18:20:47,CHAT-003,显式传 compliance_check=1,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,,success,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""我今天非常开心""}],""compliance_check"":1}",,,,,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 18:21:37,CHAT-004,显式传 compliance_check=2,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,,success,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""请介绍一下人工智能""}],""compliance_check"":2}",,,,,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 18:22:27,CHAT-005,显式传 compliance_check=3,happy_path,P1,chat_completions,POST,/v1/chat/completions,error,200,,success,request_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""美国哪一年成立""}],""compliance_check"":3}",,,,,执行或断言失败,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-05-26 18:23:17,CHAT-006,不传 compliance_check 使用默认值,default_value,P1,chat_completions,POST,/v1/chat/completions,error,200,451,success,blocked_by_law,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""今天天气怎么样""}]}","{""date"": ""Tue, 26 May 2026 10:23:13 GMT"", ""server"": ""uvicorn"", ""content-length"": ""112"", ""content-type"": ""text/plain; charset=utf-8""}",,不符合 RFC 7725: 缺少 Link 响应头或未包含 rel=blocked-by；响应体缺少核心原因说明；响应体缺少申诉渠道说明,"{""raw_text"": ""输出内容不合规\nHTTPConnectionPool(host='hulk.cmit.local', port=18888): Read timed out. (read timeout=8.0)""}",451专项检查: 不符合 RFC 7725: 缺少 Link 响应头或未包含 rel=blocked-by；响应体缺少核心原因说明；响应体缺少申诉渠道说明,AssertionError: HTTP 状态码不匹配: 期望 200，实际 451
2026-05-26 18:24:03,CHAT-007,传 null compliance_check,default_value,P2,chat_completions,POST,/v1/chat/completions,error,200,500,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""请介绍下北京""}],""compliance_check"":null}","{""date"": ""Tue, 26 May 2026 10:24:03 GMT"", ""server"": ""uvicorn"", ""content-length"": ""88"", ""content-type"": ""application/json""}",,,"{""detail"": ""合规检查异常: unsupported operand type(s) for &: 'NoneType' and 'int'""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 500
2026-05-26 18:24:03,CHAT-008,携带自定义扩展字段,custom_extension,P1,chat_completions,POST,/v1/chat/completions,error,200,500,success,validation_error,"{""model"":""Qwen3.6-35B-A3B"",""messages"": [{""role"":""user"",""content"":""介绍一下大模型""}],""x_trace_id"":""trace-001"",""biz_tag"":""demo""}","{""date"": ""Tue, 26 May 2026 10:24:03 GMT"", ""server"": ""uvicorn"", ""content-length"": ""116"", ""content-type"": ""application/json""}",,,"{""detail"": ""Chat Completions API 调用失败: Completions.create() got an unexpected keyword argument 'x_trace_id'""}",执行或断言失败,AssertionError: HTTP 状态码不匹配: 期望 200，实际 500
2026-05-26 18:24:10,CHAT-009,缺少 model,required_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""messages"": [{""role"":""user"",""content"":""介绍一下Python""}]}","{""date"": ""Tue, 26 May 2026 10:24:10 GMT"", ""server"": ""uvicorn"", ""content-length"": ""147"", ""content-type"": ""application/json""}",,,"{""detail"": [{""type"": ""missing"", ""loc"": [""body"", ""model""], ""msg"": ""Field required"", ""input"": {""messages"": [{""role"": ""user"", ""content"": ""介绍一下Python""}]}}]}",全部断言通过,
2026-05-26 18:24:10,CHAT-010,缺少 messages,required_validation,P0,chat_completions,POST,/v1/chat/completions,success,422,422,validation_error,validation_error,"{""model"":""Qwen3.6-35B-A3B""}","{""date"": ""Tue, 26 May 2026 10:24:10 GMT"", ""server"": ""uvicorn"", ""content-length"": ""116"", ""content-type"": ""application/json""}",,,"{""detail"": [{""type"": ""missing"", ""loc"": [""body"", ""messages""], ""msg"": ""Field required"", ""input"": {""model"": ""Qwen3.6-35B-A3B""}}]}",全部断言通过,
